wilayah,lokasi,jenis_kendaraan,keterangan,Latitude,Longitude
Jakarta Pusat,Jl. Gatot Subroto,Bus AKAP,Terminal Bayangan,-8.3603431,114.622628
Jakarta Pusat,Jl. Kebon Jati Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang,,
Jakarta Pusat,Jl. Jati Baru Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang,,
Jakarta Pusat,Jl. KH. Mas Mansyur Tn. Abang,Mobil Barang,Bongkar Muat Angkutan Barang,,
Jakarta Pusat,Jl. Wahid Hasyim,Mobil Barang,Bongkar Muat Angkutan Barang,-6.9298621,107.5973451
Jakarta Pusat,Jl. Samanhudi,Kendaraan Pribadi,Pengunjung Belanja Ps. Baru,-7.6734225,112.9117292
Jakarta Pusat,Jl. Abdul Muis,Kendaraan Pribadi,Tamu dari Dephub,-8.0476944,111.7161955
Jakarta Pusat,Jl. Kramat Raya,Kendaraan Pribadi,Pengunjung Belanja Ps. Kenari,-3.3175343,114.6089746
Jakarta Pusat,Jl. Poncol,Kendaraan Pribadi,Tanpa Lahan Parkir,-7.7351335,111.2571614
Jakarta Pusat,"Jl. Soeprapto - Cempaka I,II dan III",Kendaraan Material,0,,
Jakarta Pusat,Jl. Soeprapto - Galur,Kendaraan Material,0,,
Jakarta Pusat,Jl. Soeprapto - Depan ITC,Kendaraan Material,0,,
Jakarta Pusat,Jl. Cikini Raya,Kendaraan Pribadi,Konsumen Pasar Areal  Parkir Terbatas,-6.1899086,106.8378407
Jakarta Pusat,Jl. Pramuka,Kendaraan Pribadi,Pemilik dan konsumen rental fhoto copy,-7.818463,110.3873192
Jakarta Timur,"Jl. Raya Pemuda (SD Tarakanita, Labscool-UNJ)",Kendaraan Pribadi,Diperlukan petugas gabungan,,
Jakarta Timur,Jl. Raya Bekasi Timur (Depan Kantor Imigrasi),Kendaraan Pribadi,Diperlukan petugas gabungan,,
Jakarta Timur,Prumpung (taman Viaducr),Pangkalan Truck,Diperlukan petugas gabungan,,
Jakarta Timur,Jl. Raya Pramuka ( Ps. Pramuka ),Kendaraan Pribadi,Diperlukan petugas gabungan,,
Jakarta Timur,Jl. Matraman Raya (depan sekolah Marsudirini),Kendaraan Pribadi,Diperlukan petugas gabungan,,
Jakarta Timur,Jl. Otista raya,Kendaraan Pribadi,Diperlukan petugas gabungan,-7.0882498,107.8986195
Jakarta Timur,Jl. Raya Kali Malang ( Pangkalan Jati ),Bus AKAP,Diperlukan petugas gabungan,,
Jakarta Timur,Jl. Raya Bogor (Depan Ps. Induk Kramat Jati),"Kendaraan Pribadi, Mobil Barang",Diperlukan petugas gabungan,,
Jakarta Utara,Jl. Boulevard Raya Kelapa Gading,0,Parkir dibadan jalan,-6.1555401,106.8960211
Jakarta Utara,Jl. Boulevard  Barat Raya Kelapa Gading,0,Parkir dibadan jalan,,
Jakarta Utara,Jl. Raya kelapa Hibryda (depan sekolah Penabur),0,Parkir dibadan jalan,,
Jakarta Utara,Jl. Kelapa Nias Raya,0,Parkir dibadan jalan,-6.1509822,106.9033735
Jakarta Utara,Jl. Raya Boulevard Timur (depan sekolah Al-Azhar),0,Parkir dibadan jalan,,
Jakarta Barat,Jl. Tali samping Hotel Panin Sula (Timur - Barat),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. Tali Sampaing BCA (Barat - Timur),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota (Selatan - Utara),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Dibawah Jembatan Metro Glodok Kota / Depan POSPOL  ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. Kyai Tapa depan Sumber Waras (Timur - Barat),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. Kyai Tapa depan Trisakti ( Timur - Barat ),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. Jembatan Lima ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan,-2.4268739,115.2450456
Jakarta Barat,Jl. Jembatan Lima ( Selatan - Utara ) ,Kendaraan Pribadi,Parkir dibadan jalan,-2.4268739,115.2450456
Jakarta Barat,Jl. Piontu Kecil ( Timur - barat ),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. Pinang Sia Raya ( Utara - Selatan ),Kendaraan Pribadi,Parkir dibadan jalan,,
Jakarta Barat,Jl. S. Parman depan toko buah segar,Kendaraan Pribadi,Parkir dibadan jalan,,
